,RP11.798L4.1,RP11.408N14.1,RP11.148B18.4,AC114730.2,LINC00652,RP11.662B19.2,RP11.371A19.2,CTD.2529P6.3,AC003991.3,AC005498.3,RP11.888D10.3,GS1.410F4.4,AC002310.7,RP6.65G23.1,BX936347.1,RP11.145H9.3,RP11.134O21.1,RP11.1079K10.2,LINC00665,RP11.656D10.6,RP11.408A13.3,AC122129.1,RP11.182L21.6,RP11.563P16.1,DCTN1.AS1,ARHGAP5.AS1,RP11.247I13.11,SSTR5.AS1,RP11.45A16.4,CTD.2062F14.3
TCGA.BH.A0DZ,-0.601704709,-0.418397667,2.013642079,-1.780689793,0.396378062,-1.14589498,-0.9377127,-1.253179655,-1.317469103,-2.833221452,-1.23674623,-0.966699684,-1.512292698,-1.182891695,-1.16325483,-0.989570578,1.455193773,-1.764485141,-1.584255025,1.159733164,-1.488525341,-0.595681722,-0.999332466,1.7444821,-1.872152469,-0.827958994,-2.404440488,-0.545520602,-1.047145051,0.139309558
TCGA.BH.A0E0,-0.601704709,4.639755563,-1.494979156,-1.780689793,1.091946577,-1.14589498,-0.9377127,-1.253179655,-1.317469103,0.332980673,-0.969997365,1.549929876,-1.512292698,0.416376367,0.452403547,-0.989570578,-0.042030688,-1.764485141,1.344657109,-1.283474904,-1.488525341,-0.876249554,1.104454798,0.73413918,-1.872152469,0.926955371,-0.716341674,0.326748307,-1.047145051,-1.410834496
TCGA.BH.A0E1,-0.601704709,1.427946175,-1.494979156,-1.780689793,-2.810257354,-1.14589498,-0.9377127,0.168009057,1.078744539,-0.659303097,1.765479421,-0.966699684,0.155523212,0.651109674,-0.723650483,0.120850467,0.946131669,0.546726346,-0.383072319,-0.715465157,0.078225651,-0.608926169,0.126641756,-0.398071931,0.37153362,-1.579527445,-1.448048056,-0.545520602,-0.184431719,-0.354148324
TCGA.BH.A0E2,-0.601704709,1.348287811,-1.494979156,-0.881040769,-1.980474986,-1.14589498,-0.9377127,0.662613059,0.987468263,0.061467608,-0.333556571,0.397582528,0.084120702,0.133825564,-1.233592082,1.350991663,-1.852342074,-1.764485141,-0.238513004,-0.719002515,0.011652407,-0.415637264,-1.033926025,-0.440619272,-0.041206373,-0.218201183,0.118551008,-0.545520602,1.089166579,-1.410834496
TCGA.BH.A0E9,0.61254729,-0.418397667,-0.667019567,1.694338233,0.002163258,1.02021101,-0.9377127,0.881137538,2.368638939,-0.593840702,1.568785544,-0.966699684,-0.47892879,0.780545398,-0.163653411,-0.989570578,0.514193683,0.259812644,0.100652958,-1.050257715,0.714651893,1.687845935,0.890984969,0.51596269,-0.803653469,0.481354738,-0.561616619,0.406697333,0.907933477,0.625240273
TCGA.BH.A0EI,2.230712919,3.339679867,-1.494979156,-0.912809238,0.324666635,-1.14589498,0.33130513,1.002966158,2.28123414,-0.469224625,1.287802999,0.3494069,-1.512292698,0.572688976,0.447410072,0.035423099,1.424097499,-0.096692255,-1.400651633,-1.004896593,-0.646604374,0.274425093,0.327335282,-1.384246109,0.205915238,0.293607025,-0.886161625,3.049385635,-1.047145051,-0.435441739
TCGA.BH.A0GY,-0.601704709,-0.418397667,-0.101906878,-1.780689793,-0.478908499,-1.14589498,-0.9377127,0.228918954,0.827213866,-1.802703423,-0.499240487,-0.966699684,0.607681114,1.11247305,-0.060944174,-0.989570578,-0.343708192,-1.764485141,1.513388874,0.720710678,-0.537344326,0.183552116,-0.748684789,-0.355806068,0.118024525,0.381073557,-1.407058592,-0.030156684,-0.147457193,1.010164881
TCGA.BH.A0GZ,-0.601704709,-0.418397667,-1.494979156,0.359319329,-0.836441132,0.34806703,-0.9377127,0.218857641,1.153463755,0.424020147,1.038699869,-0.966699684,-0.285656827,0.391798363,1.914807955,0.629719769,0.065845733,-1.764485141,-1.036750757,-1.369807586,-0.543801474,-0.198225846,-0.341706543,0.053859134,1.107217166,-0.848176957,0.150087204,0.175131573,2.225154073,0.99427688
TCGA.BH.A0H3,0.558611484,-0.418397667,-0.132549467,0.258518913,-0.198800145,0.925114756,-0.9377127,1.366359462,-0.656730493,-0.690007813,-0.248334189,0.22215775,-0.524829736,-0.766707972,-1.0526899,-0.989570578,0.509290005,-0.529265154,0.033191645,0.289322311,-0.416128733,1.339730768,0.021875358,-0.224744822,0.82868586,-0.041503748,-0.33014152,-0.545520602,-1.047145051,-0.168428231
TCGA.BH.A0H5,1.243969613,-0.418397667,0.969480062,-0.533658386,1.161086392,1.846420135,1.914415603,0.084647282,-0.572114372,0.146734811,-0.368014275,0.924374191,-0.397493151,0.033867819,-0.30757913,0.055717196,-1.059018893,0.796567942,-0.510260096,-0.099198927,-0.01231637,0.020284222,-0.553899846,-0.076255692,-0.46625689,-0.099836211,-0.072980272,-0.545520602,0.742641935,-0.009322048
TCGA.BH.A0H7,-0.601704709,1.252456545,-0.017813322,-1.780689793,-1.078885796,0.159369337,0.306401358,0.03292919,-0.195489891,-0.361515551,-0.449106703,-0.966699684,-0.001872978,2.256501133,2.313889811,-0.989570578,1.139793014,-0.424574759,-0.17396409,0.076430558,-1.488525341,0.00099273,0.143169116,0.584666137,1.851546123,0.461466897,-1.184650172,-0.545520602,-1.047145051,-1.410834496
TCGA.BH.A0H9,-0.601704709,-0.418397667,-0.17737881,-0.853739866,-1.606062415,-1.14589498,0.971320469,0.147960462,-0.365545387,0.856640226,-0.269237318,-0.966699684,1.057399039,-1.182891695,-0.390147124,-0.989570578,-0.424789775,-1.764485141,1.08879449,-0.305592252,-0.221990692,-0.907770983,0.325490016,-0.411983811,0.012691826,-0.382902922,-1.461539807,-0.545520602,-1.047145051,0.379095698
TCGA.BH.A0HA,-0.601704709,-0.418397667,0.62150896,-0.437713832,-0.127150425,-1.14589498,-0.9377127,1.916848617,-0.063971629,2.328612777,-1.641789505,-0.966699684,1.129264281,-1.182891695,0.774254274,0.136800399,-0.648571451,0.065642869,0.563524748,1.678313538,0.545934912,-1.20920988,0.858477331,0.815461784,-0.631400906,-1.027418512,0.68764443,-0.044238237,1.211749318,-1.410834496
TCGA.BH.A0HI,0.698095493,-0.418397667,0.951279253,1.034092013,-0.711947059,0.201344978,-0.9377127,-1.253179655,0.364935144,0.246918293,0.129543037,0.365072761,-0.406124771,0.540551843,0.496141837,1.697257327,0.186831168,-0.381790212,-0.252635706,0.42717788,-1.488525341,-0.73483371,0.219492504,-0.463105154,1.034314822,-0.406503438,-1.145701167,-0.083925572,-1.047145051,-0.020095307
TCGA.BH.A0HX,-0.601704709,-0.418397667,-0.601820551,-0.895674868,-1.011266303,0.211782544,-0.9377127,0.084573205,2.796734467,-0.424430844,-0.225398665,-0.966699684,0.404322425,-0.375100367,1.64139304,0.80753668,0.20199055,0.796431883,0.059648845,0.759758548,-0.27886098,0.524686005,-0.217681361,0.211779813,0.245291141,1.472514051,-0.420413441,1.223921797,-1.047145051,-0.009399086
TCGA.BH.A0HY,0.745761502,-0.418397667,-0.576185058,-0.498208789,-0.125161944,-1.14589498,-0.9377127,0.685366895,0.422550951,1.175848219,-0.641363737,0.978132104,0.458509917,-0.69958076,-0.111123075,0.525079003,-1.852342074,-0.747205271,0.337727242,0.697479702,-0.244405237,-0.731625423,0.348544595,0.256903449,-0.426587613,-0.969366322,-0.009012327,-0.545520602,0.12962334,1.860976448
TCGA.BH.A0RX,-0.601704709,-0.418397667,0.745226022,0.439089547,0.592958185,-1.14589498,-0.9377127,0.898604441,-0.712909895,0.396067711,-1.586822041,-0.966699684,-1.512292698,-0.427173608,-1.244976548,-0.989570578,0.481213543,-0.173838745,1.777657663,0.208779169,-0.107553678,-1.022135543,-2.223505923,0.944043369,-0.556957945,-0.132556606,-0.639309385,-0.545520602,0.2590663,1.083928955
TCGA.BH.A0W3,-0.601704709,-0.418397667,0.196052933,-0.406507345,-1.264771813,-1.14589498,-0.9377127,0.222215706,0.61406555,-0.188093622,2.094942466,-0.966699684,1.189141855,-0.664724951,-0.054456568,-0.989570578,-1.852342074,-0.229003448,0.295589847,0.053160119,-0.541646335,1.999948403,0.968630123,-0.360457505,0.109323921,-0.239688632,-0.222806029,-0.545520602,0.49035065,0.133580341
TCGA.BH.A0W5,-0.601704709,-0.418397667,0.619868801,0.702842231,0.735950309,0.091172889,2.126429555,1.439558067,-0.637943428,-0.630777091,1.851873088,-0.966699684,1.127217222,-0.070423575,-0.040627169,-0.037193967,1.071570428,0.577053903,-0.272657228,1.770258539,1.594638339,1.223903869,0.28711069,-1.384246109,-0.589650275,0.846297053,-0.992386833,-0.121673034,0.226597267,1.380355065
TCGA.BH.A18F,-0.601704709,-0.418397667,0.10184691,-0.483669612,0.497008422,0.266709188,-0.9377127,0.13869377,-0.542235919,-0.702789138,0.250796558,0.429686532,-1.512292698,0.311511625,-1.402220479,-0.989570578,-0.035406807,0.500493958,-0.017633508,-0.192828746,-1.488525341,0.186532545,-0.779745948,-0.418414042,0.000600719,-0.275231372,0.174979235,-0.545520602,-0.202227167,1.43908052
TCGA.BH.A18H,-0.601704709,1.615269585,1.81494529,1.052668095,-0.715809357,-1.14589498,-0.9377127,0.312197756,-0.256018245,0.613799129,-2.549524727,0.60375306,-1.512292698,-0.240132693,-0.337432793,-0.989570578,-0.924082856,-0.136256597,-1.068712189,0.732631183,-0.483897669,1.553933785,-0.712357303,-1.384246109,0.225797294,-0.75208021,0.789969924,-0.545520602,-0.096903926,-1.410834496
TCGA.BH.A18I,-0.601704709,1.024535854,0.146472488,0.597301432,-0.714116952,0.444130598,0.136692156,1.20534968,-0.172819311,0.469876518,0.699848133,0.605070987,0.082562147,-0.632661406,-0.92232602,-0.121767024,-0.021665694,-0.606352444,-0.658589847,0.602617424,-0.26020855,1.19200838,0.953067945,0.757969834,0.670066291,0.123420478,-0.456405793,-0.545520602,-0.096106481,0.741484214
