,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils
TCGA-AR-A24U,-0.588402792,-0.105999788,0.151459486,-0.676840373,-0.105999788,1.815650891,0.067670348,-0.905687528,-0.920546749,-0.105999788,1.469161191,-0.762878071,0.229378434,0.009446699,0.285247078,-0.595907758,-0.360190077,-0.035297894,-0.472106999,-0.105999788,-0.144245194,-0.222702364
TCGA-AR-A24W,-0.238424498,-0.105999788,1.424466959,0.143362203,-0.105999788,1.813987845,-0.327794111,-0.832881542,-0.920546749,-0.105999788,-0.70870877,-0.762878071,0.440961267,-1.100099939,-1.741883651,-0.088133021,-0.360190077,0.770982881,0.222744544,-0.105999788,8.94454746,-0.222702364
TCGA-AR-A24X,1.774594522,-0.105999788,0.434570139,-0.910554914,-0.105999788,2.069600722,-0.327794111,-0.188124077,-0.920546749,-0.105999788,-1.015865763,-0.10660719,0.070481243,-1.100099939,0.13022012,0.2614605,-0.360190077,-0.188542929,-1.068406143,9.327981344,-0.144245194,-0.222702364
TCGA-AR-A254,-0.075279297,-0.105999788,-0.237232192,-0.140164096,-0.105999788,0.585254122,-0.327794111,-0.905687528,-0.920546749,-0.105999788,0.808556377,-0.762878071,-0.002866666,0.352569951,1.066460276,0.023697435,-0.270297207,-0.334634406,-0.763737556,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0AW,-0.279069885,-0.105999788,-0.360399323,0.636921959,-0.105999788,1.314662448,0.093787208,-0.905687528,1.135564755,-0.105999788,0.354591244,-0.762878071,0.150390378,-0.333925199,0.717478594,-0.679807918,-0.360190077,-0.334634406,-0.367780184,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0AZ,0.936214693,-0.105999788,0.128118114,-0.613754763,-0.105999788,0.263488286,-0.327794111,-0.881311764,0.635442598,-0.105999788,-0.19490401,-0.654602822,-0.525782975,0.183780109,-0.462880131,0.302721203,-0.360190077,-0.334634406,-0.142348821,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0B3,-1.188128852,-0.105999788,2.744209378,0.279520049,-0.105999788,-1.275033015,-0.327794111,0.702507302,0.88419851,-0.105999788,0.459841106,-0.762878071,-0.470250333,-0.264787074,2.639170631,-0.110906626,-0.360190077,-0.334634406,-0.686280852,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0B5,-0.095731109,-0.105999788,-0.767967815,-0.841829509,-0.105999788,0.45019872,-0.327794111,-0.098482273,0.268672157,-0.105999788,0.707851769,-0.762878071,0.023860784,0.351494842,-0.371667135,-0.423607137,-0.210296878,-0.334634406,1.025010489,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0B6,-0.867904333,-0.105999788,-0.264919301,2.482926063,-0.105999788,-0.51698726,-0.327794111,-0.017261285,2.138432381,-0.105999788,-0.530630582,2.666279943,1.746854701,-0.323420837,1.006729875,-1.333633856,-0.245783888,-0.334634406,-0.220390289,-0.105999788,-0.144245194,-0.222702364
TCGA-BH-A0BG,0.967295795,-0.105999788,-0.751222873,1.527263276,-0.105999788,-0.232338028,1.760459652,1.070635323,1.134837562,-0.105999788,0.424386852,-0.762878071,-0.12000862,-0.801237778,0.626745114,-0.33023773,-0.360190077,1.353567115,-0.958389386,-0.105999788,-0.144245194,-0.222702364
