,TCGA-AO-A03M,TCGA-AO-A03V,TCGA-AO-A0J8,TCGA-AO-A0J9,TCGA-AO-A0JB,TCGA-AO-A0JF,TCGA-AO-A0JI,TCGA-AO-A0JM,TCGA-AO-A12D,TCGA-AO-A12E,TCGA-AO-A12F,TCGA-AO-A12G,TCGA-AR-A1AN,TCGA-AR-A1AQ,TCGA-AR-A1AX,TCGA-AR-A24M,TCGA-AR-A24R,TCGA-AR-A24S,TCGA-AR-A24W,TCGA-AR-A24X,TCGA-AR-A254,TCGA-BH-A0AW,TCGA-BH-A0AZ,TCGA-BH-A0B3,TCGA-BH-A0B5,TCGA-BH-A0B6,TCGA-BH-A0BG,TCGA-BH-A0BJ,TCGA-BH-A0BM,TCGA-BH-A0BQ,TCGA-BH-A0BT,TCGA-BH-A0C0,TCGA-BH-A0DE,TCGA-BH-A0DG,TCGA-BH-A0DH,TCGA-BH-A0DK,TCGA-BH-A0DT,TCGA-BH-A0DV,TCGA-BH-A0DX,TCGA-BH-A0DZ,TCGA-BH-A0E0,TCGA-BH-A0E1,TCGA-BH-A0E2,TCGA-BH-A0E9,TCGA-BH-A0EI,TCGA-BH-A0GY,TCGA-BH-A0GZ,TCGA-BH-A0H3,TCGA-BH-A0H5,TCGA-BH-A0H7,TCGA-BH-A0H9,TCGA-BH-A0HA,TCGA-BH-A0HI,TCGA-BH-A0HX,TCGA-BH-A0HY,TCGA-BH-A0RX,TCGA-BH-A0W3,TCGA-BH-A0W5,TCGA-BH-A18F,TCGA-BH-A18H,TCGA-BH-A18I,TCGA-BH-A202,TCGA-BH-A28Q,TCGA-EW-A1IY,TCGA-EW-A1IZ,TCGA-EW-A1J6,TCGA-EW-A1OZ,TCGA-EW-A1P0,TCGA-EW-A1P3,TCGA-EW-A1P4,TCGA-EW-A1PA,TCGA-EW-A2FR,TCGA-EW-A2FS,TCGA-EW-A3E8
T1C-wavelet-LLH-gldm-SmallDependenceHighGrayLevelEmphasis,-0.599266249,-0.58868285,-0.293627501,-0.636481862,1.054550963,-0.594243574,-0.642914905,-0.546099855,-0.501668467,0.019430175,-0.491872445,-0.63528818,-0.626254093,-0.567378679,0.308076157,0.157112169,-0.472033679,0.992702461,0.46347185,-0.605011025,-0.541598416,-0.284315466,-0.379746739,-0.123367852,2.302790459,-0.424023622,0.292304164,0.295389957,2.115604504,0.375844194,-0.396018761,0.501485719,2.096725269,1.364757625,-0.402424931,-0.031093801,0.733262165,-0.293705237,0.543296423,-0.419438987,-0.241649097,-0.561089607,0.55635046,-0.182606338,-0.331544546,-0.333929205,-0.547523573,-0.319163576,0.22696001,-0.34950479,0.409091345,-0.173025312,0.816794454,0.786725174,-0.086016543,-0.436588941,-0.501692457,2.586075952,3.921080367,-0.595978782,3.847284245,-0.099237736,0.740052212,-0.641083843,-0.636818345,-0.601084467,-0.638367797,-0.637515633,-0.642991178,-0.642295918,-0.643893888,-0.632513842,-0.642762958,-0.643264841
T1C-original-shape-SurfaceVolumeRatio,0.843027246,0.001862789,-0.83527091,0.09770276,-0.177025037,-0.17516651,0.367414174,0.737111957,-0.595691907,0.729648443,-1.026617564,-0.480053188,-0.05986019,-0.917241084,0.115886112,-0.087993803,0.333396809,-0.86386316,0.560933499,0.148121661,0.354000336,0.416204674,0.24726296,-0.588438935,0.547237872,-0.733668605,0.222744064,0.754609929,-0.442019741,-0.211954621,-0.610964217,-0.539819345,0.407968597,-0.159916529,-0.439981669,-0.537246223,1.164801686,-0.789568367,1.042330445,-1.064559602,-1.492331575,-1.129362825,-0.722655006,0.288777383,-0.795559911,0.614471893,0.432616941,-0.141581731,0.080397736,0.223105509,-0.34874541,-0.179649733,-0.134783821,-0.421247742,0.41265159,0.105781986,0.479435266,0.264143727,0.228053067,-1.393075113,0.351108746,-0.608012704,0.03383111,-0.588708017,0.043845075,0.216170655,-1.07517359,-0.559512983,-0.685780315,-1.211515963,-0.979584985,-0.013690669,-0.804345673,-0.073409547
T1C-original-shape-Flatness,-1.250771906,1.645052706,1.206049956,0.670667355,-1.869965534,1.080070411,1.203785802,-0.63880225,-0.583139254,-0.864257953,0.03341209,0.823429592,1.670762486,0.347909632,1.005911154,-1.652036016,-0.067328113,0.745677985,-1.996552893,0.403135903,-1.691400182,0.718504758,-0.144121158,0.615101972,-0.642959034,1.563525643,0.803744445,-0.35447012,-0.4417256,0.682630632,-0.189188668,0.455045395,-1.360219344,-0.08241197,0.223088923,-0.640494785,-0.924827482,-0.113591907,-2.190201714,0.197740929,-0.018819885,0.769233039,0.871622176,-0.466076999,1.021174496,-0.501505592,0.243543027,0.653355402,0.01694408,0.43419455,1.923603588,-0.425631054,0.854481193,0.769369353,-0.727205879,-0.801130345,-0.013959541,0.272855401,-0.113901901,-0.178612497,1.685789777,1.879425674,-0.7424872,0.190844708,-0.81586139,-0.467193559,0.05674074,0.289270634,0.741991956,-0.069245607,0.299671663,-0.598567659,-1.270505176,0.409155816
T1C-wavelet-LLH-glszm-SmallAreaHighGrayLevelEmphasis,-0.754381333,-0.628560666,-0.217678783,-0.815697025,1.985501917,-0.69932904,-0.858288296,-0.554830468,-0.327144078,0.719484045,-0.220186351,-0.761039383,-0.718594475,-0.314449785,0.352498553,0.401612699,-0.031564659,1.00909105,0.330707569,-0.616916808,-0.209203277,-0.186724692,-0.415845253,0.004232568,2.09173798,-0.4422567,0.140799772,0.316992511,2.500293813,0.536533168,-0.366410194,0.501574087,2.136922105,1.251966293,-0.265694429,0.51184418,0.509656193,0.033175356,0.486491464,-0.003696698,0.023946391,-0.56488353,1.190534745,0.192667976,-0.256924057,-0.449958784,-0.651807384,-0.378201873,0.541977517,-0.416798711,0.480573645,-0.107863221,0.952483689,1.426893286,0.106974563,-0.373460601,-0.596684462,2.458789261,3.478048461,-0.550373179,3.357764768,0.238651756,0.848808003,-0.845558134,-0.794650674,-0.729536061,-0.786493805,-0.818894057,-0.851658561,-0.804214631,-0.862136935,-0.786396936,-0.846707884,-0.849861874
T1C-wavelet-HLH-firstorder-Kurtosis,-0.707088515,0.526458996,-0.396951833,-0.085845039,0.158507225,-0.608444542,-0.039575935,0.004336665,-0.013972098,0.771163238,-0.106571635,-0.049620828,2.49427407,1.496565294,-0.692048405,-0.351825911,1.968814669,-0.565935279,-0.480136576,5.251671977,0.36731257,0.080811549,-0.376543231,-0.254620617,-0.433357773,-0.513292017,-0.27717049,-0.512160522,-0.009456803,-0.46635831,-0.051146041,-0.537615502,-0.556201219,-0.594953156,-0.449353315,-0.239406628,-0.500570575,0.004824167,-0.310878468,2.607093738,-0.34961799,-0.278385558,-0.323664991,-0.068342752,-0.152419161,-0.676243395,-0.362704387,-0.543038503,-0.504088904,-0.20235641,-0.532961017,0.045859073,1.240871465,-0.597499338,-0.500508342,-0.424641524,-0.569075812,-0.40737265,-0.326903222,-0.010563587,-0.120225672,-0.373583121,-0.320812677,-0.631592914,-0.18558151,-0.63507595,2.62410101,-0.541518387,0.262419479,3.627618877,-0.185396401,-0.524888206,-0.109974818,-0.082461802
T1C-wavelet-HHH-gldm-SmallDependenceEmphasis,-0.360419025,-0.680477692,0.378858178,-0.768129046,-0.140108467,-0.818202778,-0.797803926,-0.635781946,-0.567468263,-0.320518097,-0.750538747,-0.78197751,-0.661878658,-0.736126737,-0.731573577,-0.802443846,-0.671785012,0.255093696,-0.707873136,-0.582208838,-0.714501579,0.20635697,0.530613314,0.638277502,1.023308777,0.431916322,0.765000968,0.260620344,0.663343994,0.752425087,-0.016358582,1.413081722,1.346947935,2.429555355,-0.261641394,-0.246944853,1.376749697,0.073617993,0.741842474,-0.62777171,0.329112684,-0.201654158,0.40415538,0.103783159,0.303376757,0.229143503,-0.318113496,1.14534626,0.7689302,-0.418866511,0.533314358,0.510697107,-0.086291149,0.874777699,-0.102362561,-0.527844517,-0.423205913,1.659599643,2.709998409,-0.839049846,2.658213976,-0.174886111,1.684362966,-0.829027916,-0.798987162,-0.811869109,-0.868477405,-0.831075626,-0.849450937,-0.858754651,-0.858277914,-0.798945943,-0.848972612,-0.813278916
T1C-wavelet-HHH-gldm-SmallDependenceHighGrayLevelEmphasis,-0.357106047,-0.386826768,-0.048358995,-0.389843965,-0.281107667,-0.394711853,-0.394512207,-0.386190272,-0.356980695,-0.356858871,-0.381887057,-0.390161383,-0.378706485,-0.381884157,-0.389372709,-0.379577967,-0.37688301,-0.224810608,-0.38768204,-0.368837367,-0.371756458,-0.232984189,-0.107066509,0.014399456,-0.021270522,-0.1207143,-0.06216672,-0.226537453,0.392733569,-0.144868182,-0.212998417,0.996650103,0.223485792,4.061188356,-0.353090976,-0.259627838,0.173508905,-0.249447444,-0.161647711,-0.362736797,0.479477258,-0.322555953,-0.043164959,-0.252728521,-0.07407623,-0.286591703,-0.334832155,0.156724044,-0.065301737,-0.364268566,-0.107215547,0.355583746,-0.271705339,-0.041147381,-0.320760047,-0.370796552,-0.378819093,0.900548631,3.015276111,-0.391898995,6.084712174,-0.320676932,1.680319228,-0.394769794,-0.394314248,-0.394603256,-0.395163124,-0.391616194,-0.394918846,-0.395059387,-0.395041704,-0.391026088,-0.3923741,-0.39452914
T1C-original-gldm-LargeDependenceHighGrayLevelEmphasis,-0.864965321,-0.408003189,1.496805509,-0.809325408,1.291352823,-0.693619252,-0.923800253,-0.372313677,0.304407799,-0.376716283,0.063853466,-0.831321459,-1.347511374,0.193863114,1.730730515,-0.31829769,-0.385439045,1.359251385,-0.266969421,0.09079617,2.489667659,-0.536534716,0.848179108,0.877822798,-0.437859687,1.113228392,0.381588371,0.245370055,1.012710096,0.717507543,1.340874177,1.203136713,-0.087771906,1.479780217,0.58297085,0.432156393,0.73257943,1.352664803,-0.412018561,0.991291564,1.600468122,1.021289664,0.460580575,1.014108655,1.407480202,-0.1658512,-1.166698242,1.086709515,0.446488712,-0.293507019,0.143461151,0.452402629,0.226792886,1.132913291,-0.047753708,-0.565047003,-0.953849321,0.433322972,0.967943736,0.185451399,0.244967754,-0.688357502,2.927983462,-0.695012285,-1.14478959,-0.830724795,-0.282205124,-0.686466952,-0.528950905,-0.205084244,-0.555067991,-1.279153401,-0.771421517,-0.69302344
T1C-original-gldm-SmallDependenceLowGrayLevelEmphasis,0.102943468,0.288198703,-0.713162406,0.740346588,-0.610035903,0.207342808,0.823801136,-0.49158507,-0.609512865,-0.350800188,-0.678466783,0.334564478,0.417871564,-0.527128688,-0.352138152,-0.223592691,0.633058392,-0.539327615,-0.185918791,-0.035440502,-0.730728712,-0.374917289,-0.389314661,-0.636774603,-0.444704355,-0.648692777,-0.571966181,-0.579575199,-0.510765369,-0.535033982,-0.563007726,-0.674829815,-0.335253483,-0.730559653,-0.460196058,-0.550327942,-0.083993587,-0.556647925,-0.394673942,-0.564153685,-0.771230053,-0.52680373,-0.481670637,-0.634610577,-0.600668129,-0.521133326,0.16203357,-0.637987039,-0.484919544,1.203761043,-0.591969505,-0.389187782,-0.505528243,-0.665839978,-0.584012921,-0.159746995,0.031897061,-0.506718407,-0.633546617,-0.365002856,-0.426357205,-0.492570068,-0.779005431,0.176685712,0.78376378,0.775609791,-0.194947096,0.844106135,0.152068857,-0.529929133,-0.118821487,0.560376396,-0.083562671,0.589267312
T1C-wavelet-HHH-firstorder-Skewness,-1.091682639,-0.082752469,0.2577265,0.372584411,0.236633594,0.257132064,-0.792203674,-0.062308958,0.12048645,0.785929734,0.079893572,-0.060969672,-1.224829699,0.119638261,0.316190235,-3.464463599,-0.248778633,0.407175878,0.663486797,-0.33389029,1.029811056,-0.270572495,-0.362112471,0.016175895,0.002629342,0.390425409,0.364811633,-0.255131652,-0.283895472,0.248091908,-0.078938486,0.717575182,1.265326378,0.042997035,-0.389979579,0.158802858,-0.939977273,0.149472106,0.721474794,-0.037424646,0.059887808,0.290409515,0.398372653,-0.272836702,-0.056844333,0.039532065,-0.442642029,0.262690355,-0.263803985,-0.289771194,-0.080701285,-0.099503903,-0.023577707,-0.078801136,-0.053878072,0.223001496,0.030980198,-0.75482428,-0.160025525,0.098871621,0.526700136,0.235924651,-0.268263112,0.16837666,1.930529008,0.019150437,1.87223383,0.991581728,0.27848381,0.388461809,1.766504807,0.393455015,-0.329295016,1.339321807
T1C-wavelet-HHH-glrlm-RunLengthNonUniformity,-0.744014335,-0.717055767,0.332787354,0.034576133,0.576573534,-0.637318209,-0.763253708,0.128642604,0.44588098,-0.519190994,1.013649255,-0.575217124,-0.598199747,0.14640567,-0.502951641,0.182680613,-0.72581226,0.760575429,-0.060350103,-0.677126396,0.484013891,-0.512944728,0.149569666,0.565646641,-0.556953919,-0.11281041,-0.258051548,-0.258933854,1.646025514,-0.516425763,0.190130319,0.049082048,-0.634108082,2.131038043,0.303602237,2.507493339,-0.74267269,0.089992299,-0.629491194,-0.104446913,6.720536123,0.564305053,-0.313858653,-0.204585399,-0.077822402,-0.337338805,-0.657562598,-0.380786484,-0.428721209,-0.739613711,-0.18634712,-0.293911233,-0.475525994,0.343318727,-0.575991891,-0.432532443,-0.546315381,-0.331234147,0.941989069,0.320376047,-0.344061584,0.065168896,0.930414799,-0.529390922,-0.493657345,-0.706561649,0.170111495,-0.500538289,-0.481163689,0.658403249,-0.006750526,0.214567451,-0.052704898,-0.626522044
T1C-wavelet-HHH-glrlm-LongRunLowGrayLevelEmphasis,-0.449746448,-0.081761835,-0.692026441,-0.043692,-0.632342629,1.818380804,1.332399807,-0.151321367,-0.537134869,-0.462599456,-0.355802148,-0.013408929,-0.389723782,-0.367565846,-0.078631682,-0.528804197,-0.438177098,-0.653955452,-0.133399744,-0.439926587,-0.555059411,-0.65108428,-0.682172787,-0.699600944,-0.68465837,-0.682371715,-0.685932747,-0.656685206,-0.716190845,-0.665473442,-0.665948074,-0.723199779,-0.701340135,-0.730511554,-0.449681019,-0.659248138,-0.699426666,-0.639791141,-0.66263112,-0.530204871,-0.722157515,-0.573007008,-0.690964522,-0.649298666,-0.693564431,-0.616353748,-0.594360019,-0.70218835,-0.685552022,-0.453439104,-0.685120772,-0.714678972,-0.636498746,-0.688878978,-0.599715588,-0.44351594,-0.172778112,-0.719905757,-0.728269475,0.079562325,-0.731251775,-0.573950469,-0.726306425,1.878047043,1.517265602,1.570762809,2.453292659,-0.033771467,1.941177405,2.373596039,2.043219937,-0.080900018,0.031721006,1.660719278
